"region","category","sub_category","product_id","product_name","sales","discount","profit","original_price","zero_profit_sales","max_discount"
"East","Office Supplies","Storage","OFF-ST-10000604","Home/Office Personal File Carts",208.56,0.00,52.14,208.5600000000000000,156.42,0.25000000000000000000
"East","Office Supplies","Paper","OFF-PA-10001569","Xerox 232",32.40,0.00,15.55,32.4000000000000000,16.85,0.47993827160493827160
"East","Furniture","Chairs","FUR-CH-10003968","Novimex Turbo Task Chair",319.41,0.10,7.10,354.9000000000000000,312.31,0.12000563539025077487
"East","Office Supplies","Paper","OFF-PA-10000587","Array Parchment Paper, Assorted Colors",14.56,0.00,6.99,14.5600000000000000,7.57,0.48008241758241758242
"East","Technology","Accessories","TEC-AC-10002167","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30.00,0.00,3.30,30.0000000000000000,26.70,0.11000000000000000000
"East","Office Supplies","Binders","OFF-BI-10001460","Plastic Binding Combs",48.48,0.20,16.36,60.6000000000000000,32.12,0.46996699669966996700
"East","Office Supplies","Art","OFF-AR-10001868","Prang Dustless Chalk Sticks",1.68,0.00,0.84,1.68000000000000000000,0.84,0.50000000000000000000
"West","Technology","Accessories","TEC-AC-10004633","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,0.00,6.15,13.9800000000000000,7.83,0.43991416309012875536
"West","Office Supplies","Binders","OFF-BI-10001078","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,0.20,9.36,32.2750000000000000,16.46,0.49000774593338497289
"West","Office Supplies","Paper","OFF-PA-10003892","Xerox 1943",146.73,0.00,68.96,146.7300000000000000,77.77,0.46997887275949022013
"West","Furniture","Furnishings","FUR-FU-10000397","Luxo Economy Swing Arm Lamp",79.76,0.00,22.33,79.7600000000000000,57.43,0.27996489468405215647
"Central","Furniture","Chairs","FUR-CH-10001146","Global Value Mid-Back Manager's Chair, Gray",213.12,0.30,-15.22,304.4571428571428571,228.34,0.25000938438438438428
"West","Office Supplies","Art","OFF-AR-10002671","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,0.20,111.30,1391.2750000000000000,1001.72,0.27999856246967709475
"West","Technology","Phones","TEC-PH-10002726","netTALK DUO VoIP Telephone Service",167.97,0.20,62.99,209.9625000000000000,104.98,0.50000595344406739299
"South","Office Supplies","Paper","OFF-PA-10000482","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,0.00,35.66,75.8800000000000000,40.22,0.46995255666842382710
"East","Office Supplies","Binders","OFF-BI-10004654","Avery Binding System Hidden Tab Executive Style Index Sets",4.62,0.20,1.73,5.7750000000000000,2.89,0.49956709956709956710
"Central","Office Supplies","Paper","OFF-PA-10004675","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,0.00,8.76,19.0500000000000000,10.29,0.45984251968503937008
"South","Furniture","Chairs","FUR-CH-10000513","High-Back Leather Manager's Chair",831.94,0.20,-114.39,1039.9250000000000000,946.33,0.09000168281366444696
"South","Furniture","Furnishings","FUR-FU-10003708","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,0.20,1.21,121.3000000000000000,95.83,0.20997526793075020610
"South","Office Supplies","Storage","OFF-ST-10004123","Safco Industrial Wire Shelving System",72.78,0.20,-18.20,90.9750000000000000,90.98,-0.00005496015388843089
"Central","Office Supplies","Binders","OFF-BI-10004182","Economy Binders",1.25,0.80,-1.93,6.2500000000000000,3.18,0.49120000000000000000
"Central","Furniture","Furnishings","FUR-FU-10000260","6"" Cubicle Wall Clock, Black",9.71,0.60,-5.82,24.2750000000000000,15.53,0.36024716786817713697
"Central","Office Supplies","Storage","OFF-ST-10000615","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,0.20,2.72,34.0500000000000000,24.52,0.27988252569750367107
"Central","Furniture","Furnishings","FUR-FU-10003194","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,0.60,-14.48,48.2500000000000000,33.78,0.29989637305699481865
"South","Office Supplies","Appliances","OFF-AP-10002118","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,0.00,56.20,208.1600000000000000,151.96,0.26998462720983858570
"South","Office Supplies","Binders","OFF-BI-10002309","Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,0.00,8.04,16.7400000000000000,8.70,0.48028673835125448029
"West","Office Supplies","Art","OFF-AR-10002053","Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,0.00,4.17,14.9000000000000000,10.73,0.27986577181208053691
"West","Office Supplies","Storage","OFF-ST-10002370","Sortfiler Multipurpose Personal File Organizer, Black",21.39,0.00,6.20,21.3900000000000000,15.19,0.28985507246376811594
"South","Office Supplies","Envelopes","OFF-EN-10000927","Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.98,0.20,62.81,251.2250000000000000,138.17,0.45001492685839387004
"Central","Office Supplies","Storage","OFF-ST-10003656","Safco Industrial Wire Shelving",230.38,0.20,-48.95,287.9750000000000000,279.33,0.03001996701102526261
"South","Furniture","Chairs","FUR-CH-10000863","Novimex Swivel Fabric Task Chair",301.96,0.00,33.22,301.9600000000000000,268.74,0.11001457146641939330
"Central","Technology","Accessories","TEC-AC-10001998","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,0.00,6.80,19.9900000000000000,13.19,0.34017008504252126063
"Central","Office Supplies","Labels","OFF-LA-10000134","Avery 511",6.16,0.00,2.96,6.1600000000000000,3.20,0.48051948051948051948
"Central","Office Supplies","Storage","OFF-ST-10003442","Eldon Portable Mobile Manager",158.37,0.20,13.86,197.9625000000000000,144.51,0.27001326008713771548
"West","Office Supplies","Art","OFF-AR-10004930","Turquoise Lead Holder with Pocket Clip",20.10,0.00,6.63,20.1000000000000000,13.47,0.32985074626865671642
"West","Technology","Phones","TEC-PH-10004093","Panasonic Kx-TS550",73.58,0.20,8.28,91.9750000000000000,65.30,0.29002446316933949443
"West","Office Supplies","Paper","OFF-PA-10000304","Xerox 1995",6.48,0.00,3.11,6.4800000000000000,3.37,0.47993827160493827160
"Central","Office Supplies","Paper","OFF-PA-10003177","Xerox 1999",12.96,0.00,6.22,12.9600000000000000,6.74,0.47993827160493827160
"Central","Furniture","Furnishings","FUR-FU-10003799","Seth Thomas 13 1/2"" Wall Clock",53.34,0.00,16.54,53.3400000000000000,36.80,0.31008623922009748781
"Central","Office Supplies","Binders","OFF-BI-10002852","Ibico Standard Transparent Covers",32.96,0.00,16.15,32.9600000000000000,16.81,0.48998786407766990291
"West","Office Supplies","Binders","OFF-BI-10004738","Flexible Leather- Look Classic Collection Ring Binder",5.68,0.70,-3.79,18.9333333333333333,9.47,0.49982394366197183011
"East","Furniture","Furnishings","FUR-FU-10000629","9-3/4 Diameter Round Wall Clock",96.53,0.00,40.54,96.5300000000000000,55.99,0.41997306536827929141
"West","Office Supplies","Binders","OFF-BI-10001721","Trimflex Flexible Post Binders",51.31,0.20,17.96,64.1375000000000000,33.35,0.48002338725394659910
"Central","Office Supplies","Appliances","OFF-AP-10000358","Fellowes Basic Home/Office Series Surge Protectors",77.88,0.00,22.59,77.8800000000000000,55.29,0.29006163328197226502
"Central","Office Supplies","Paper","OFF-PA-10003256","Avery Personal Creations Heavyweight Cards",64.62,0.20,22.62,80.7750000000000000,42.00,0.48003714020427112349
"Central","Technology","Accessories","TEC-AC-10001767","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.98,0.20,-10.80,119.9750000000000000,106.78,0.10998124609293602834
"Central","Office Supplies","Binders","OFF-BI-10002609","Avery Hidden Tab Dividers for Binding Systems",1.79,0.80,-3.04,8.9500000000000000,4.83,0.46033519553072625698
"Central","Office Supplies","Paper","OFF-PA-10004040","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",23.92,0.00,11.72,23.9200000000000000,12.20,0.48996655518394648829
"West","Technology","Accessories","TEC-AC-10001552","Logitech K350 2.4Ghz Wireless Keyboard",238.90,0.20,-26.88,298.6250000000000000,265.78,0.10998744244453746337
"West","Furniture","Furnishings","FUR-FU-10004006","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,0.20,-3.84,127.9500000000000000,106.20,0.16998827667057444314
"West","Office Supplies","Binders","OFF-BI-10002794","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.88,0.70,-25.82,122.9333333333333333,62.70,0.48996746203904555301
"South","Technology","Accessories","TEC-AC-10003499","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.11,0.20,17.60,92.6375000000000000,56.51,0.38998785588989340170
"South","Technology","Phones","TEC-PH-10002844","Speck Products Candyshell Flip Case",27.99,0.20,2.10,34.9875000000000000,25.89,0.26002143622722400857
"South","Office Supplies","Art","OFF-AR-10000390","Newell Chalk Holder",3.30,0.20,1.07,4.1250000000000000,2.23,0.45939393939393939394
"Central","Technology","Accessories","TEC-AC-10000844","Logitech Gaming G510s - Keyboard",339.96,0.20,67.99,424.9500000000000000,271.97,0.35999529356394869985
"East","Furniture","Furnishings","FUR-FU-10001934","Magnifier Swing Arm Lamp",41.96,0.00,10.91,41.9600000000000000,31.05,0.26000953288846520496
"Central","Office Supplies","Art","OFF-AR-10000380","Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,0.00,22.79,75.9600000000000000,53.17,0.30002632964718272775
"Central","Office Supplies","Binders","OFF-BI-10003981","Avery Durable Plastic 1"" Binders",27.24,0.00,13.35,27.2400000000000000,13.89,0.49008810572687224670
"East","Office Supplies","Fasteners","OFF-FA-10000621","OIC Colored Binder Clips, Assorted Sizes",40.10,0.20,14.53,50.1250000000000000,25.57,0.48987531172069825436
"East","Office Supplies","Envelopes","OFF-EN-10002600","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,0.20,1.65,5.9000000000000000,3.07,0.47966101694915254237
"East","Office Supplies","Paper","OFF-PA-10004965","Xerox 1921",23.98,0.20,7.49,29.9750000000000000,16.49,0.44987489574645537948
"East","Office Supplies","Envelopes","OFF-EN-10002504","Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.46,0.20,44.03,163.0750000000000000,86.43,0.46999846696305380960
"West","Furniture","Tables","FUR-TA-10001768","Hon Racetrack Conference Tables",787.53,0.00,165.38,787.5300000000000000,622.15,0.20999834926923418790
"South","Office Supplies","Binders","OFF-BI-10003650","GBC DocuBind 300 Electric Binding Machine",157.79,0.70,-115.72,525.9666666666666667,273.51,0.47998605741808733130
"East","Furniture","Furnishings","FUR-FU-10002157","Artistic Insta-Plaque",47.04,0.00,18.35,47.0400000000000000,28.69,0.39009353741496598639
"East","Office Supplies","Binders","OFF-BI-10003910","DXL Angle-View Binders with Locking Rings by Samsill",30.84,0.00,13.88,30.8400000000000000,16.96,0.45006485084306095979
"East","Office Supplies","Storage","OFF-ST-10000777","Companion Letter/Legal File, Black",226.56,0.00,63.44,226.5600000000000000,163.12,0.28001412429378531073
"East","Office Supplies","Envelopes","OFF-EN-10002500","Globe Weis Peel & Seel First Class Envelopes",115.02,0.00,51.76,115.0200000000000000,63.26,0.45000869414014953921
"East","Technology","Phones","TEC-PH-10003875","KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",68.04,0.00,19.73,68.0400000000000000,48.31,0.28997648442092886537
"Central","Furniture","Chairs","FUR-CH-10004063","Global Deluxe High-Back Manager's Chair",600.56,0.30,-8.58,857.9428571428571429,609.14,0.28999933395497535637
"Central","Furniture","Tables","FUR-TA-10004534","Bevis 44 x 96 Conference Tables",617.70,0.50,-407.68,1235.4000000000000000,1025.38,0.17000161890885543144
"South","Office Supplies","Paper","OFF-PA-10000357","Xerox 1888",177.54,0.20,62.14,221.9250000000000000,115.40,0.48000450602681085952
"West","Office Supplies","Binders","OFF-BI-10003274","Avery Durable Slant Ring Binders, No Labels",2.39,0.70,-1.83,7.9666666666666667,4.22,0.47029288702928870515
"West","Office Supplies","Storage","OFF-ST-10002974","Trav-L-File Heavy-Duty Shuttle II, Black",243.99,0.20,30.50,304.9875000000000000,213.49,0.30000409852862822247
"West","Furniture","Chairs","FUR-CH-10001146","Global Task Chair, Black",81.42,0.20,-9.16,101.7750000000000000,90.58,0.10999754360108081552
"West","Furniture","Furnishings","FUR-FU-10003773","Eldon Cleatmat Plus Chair Mats for High Pile Carpets",238.56,0.00,26.24,238.5600000000000000,212.32,0.10999329309188464118
"East","Technology","Phones","TEC-PH-10002293","Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",59.97,0.40,-11.99,99.9500000000000000,71.96,0.28004002001000500250
"East","Office Supplies","Paper","OFF-PA-10002377","Xerox 1916",78.30,0.20,29.36,97.8750000000000000,48.94,0.49997445721583652618
"East","Office Supplies","Fasteners","OFF-FA-10002780","Staples",21.46,0.20,6.97,26.8250000000000000,14.49,0.45983224603914259087
"West","Office Supplies","Paper","OFF-PA-10001804","Xerox 195",20.04,0.00,9.62,20.0400000000000000,10.42,0.48003992015968063872
"West","Office Supplies","Paper","OFF-PA-10001736","Xerox 1880",35.44,0.00,16.66,35.4400000000000000,18.78,0.47009029345372460497
"West","Office Supplies","Art","OFF-AR-10001149","Sanford Colorific Colored Pencils, 12/Box",11.52,0.00,3.46,11.5200000000000000,8.06,0.30034722222222222222
"West","Office Supplies","Fasteners","OFF-FA-10002988","Ideal Clamps",4.02,0.00,1.97,4.0200000000000000,2.05,0.49004975124378109453
"West","Office Supplies","Binders","OFF-BI-10004781","GBC Wire Binding Strips",76.18,0.20,26.66,95.2250000000000000,49.52,0.47996849566815437123
"West","Office Supplies","Supplies","OFF-SU-10001218","Fiskars Softgrip Scissors",65.88,0.00,18.45,65.8800000000000000,47.43,0.28005464480874316940
"West","Furniture","Furnishings","FUR-FU-10001706","Longer-Life Soft White Bulbs",43.12,0.00,20.70,43.1200000000000000,22.42,0.48005565862708719852
"East","Furniture","Furnishings","FUR-FU-10004848","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.80,0.20,10.35,103.5000000000000000,72.45,0.30000000000000000000
"West","Office Supplies","Art","OFF-AR-10000940","Newell 343",8.82,0.00,2.38,8.8200000000000000,6.44,0.26984126984126984127
"West","Office Supplies","Envelopes","OFF-EN-10004030","Convenience Packs of Business Envelopes",10.86,0.00,5.10,10.8600000000000000,5.76,0.46961325966850828729
"West","Office Supplies","Paper","OFF-PA-10004327","Xerox 1911",143.70,0.00,68.98,143.7000000000000000,74.72,0.48002783576896311761
"Central","Office Supplies","Appliances","OFF-AP-10001058","Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators",839.43,0.00,218.25,839.4300000000000000,621.18,0.25999785568778814195
"West","Office Supplies","Storage","OFF-ST-10003656","Safco Industrial Wire Shelving",671.93,0.00,20.16,671.9300000000000000,651.77,0.03000312532555474529
"East","Furniture","Furnishings","FUR-FU-10000521","Seth Thomas 14"" Putty-Colored Wall Clock",93.89,0.20,12.91,117.3625000000000000,80.98,0.31000106507615294494
"Central","Technology","Phones","TEC-PH-10000215","Plantronics Cordless Phone Headset with In-line Volume - M214C",384.45,0.00,103.80,384.4500000000000000,280.65,0.26999609832227857979
"Central","Technology","Phones","TEC-PH-10001448","Anker Astro 15000mAh USB Portable Charger",149.97,0.00,6.00,149.9700000000000000,143.97,0.04000800160032006401
"Central","Furniture","Chairs","FUR-CH-10000454","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,0.00,585.55,1951.8400000000000000,1366.29,0.29999897532584638085
"Central","Office Supplies","Binders","OFF-BI-10002735","GBC Prestige Therm-A-Bind Covers",171.55,0.00,80.63,171.5500000000000000,90.92,0.47000874380647041679
"West","Office Supplies","Appliances","OFF-AP-10000326","Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection",157.92,0.20,17.77,197.4000000000000000,140.15,0.29002026342451874367
"West","Technology","Phones","TEC-PH-10001254","Jabra BIZ 2300 Duo QD Duo Corded Headset",203.18,0.20,15.24,253.9750000000000000,187.94,0.26000590609311940152
"West","Office Supplies","Paper","OFF-PA-10001950","Southworth 25% Cotton Antique Laid Paper & Envelopes",58.38,0.00,26.27,58.3800000000000000,32.11,0.44998287084618019870
"West","Office Supplies","Paper","OFF-PA-10002254","Xerox 1883",105.52,0.00,48.54,105.5200000000000000,56.98,0.46000758150113722517
"West","Office Supplies","Storage","OFF-ST-10001590","Tenex Personal Project File with Scoop Front Design, Black",80.88,0.00,21.03,80.8800000000000000,59.85,0.26001483679525222552
"West","Office Supplies","Art","OFF-AR-10001547","Newell 311",6.63,0.00,1.79,6.6300000000000000,4.84,0.26998491704374057315
"West","Furniture","Chairs","FUR-CH-10004063","Global Deluxe High-Back Manager's Chair",457.57,0.20,51.48,571.9625000000000000,406.09,0.29000590073649933344
"Central","Office Supplies","Labels","OFF-LA-10002475","Avery 519",14.62,0.00,6.87,14.6200000000000000,7.75,0.46990424076607387141
"Central","Technology","Phones","TEC-PH-10004536","Avaya 5420 Digital phone",944.93,0.00,236.23,944.9300000000000000,708.70,0.24999735430137682156
"West","Office Supplies","Paper","OFF-PA-10002751","Xerox 1920",5.98,0.00,2.69,5.9800000000000000,3.29,0.44983277591973244147
"East","Technology","Accessories","TEC-AC-10003657","Lenovo 17-Key USB Numeric Keypad",54.38,0.20,1.36,67.9750000000000000,53.02,0.22000735564545788893
"West","Office Supplies","Envelopes","OFF-EN-10001990","Staple envelope",28.40,0.00,13.35,28.4000000000000000,15.05,0.47007042253521126761
"West","Office Supplies","Binders","OFF-BI-10004002","Wilson Jones International Size A4 Ring Binders",27.68,0.20,9.69,34.6000000000000000,17.99,0.48005780346820809249
"Central","Office Supplies","Art","OFF-AR-10004441","BIC Brite Liner Highlighters",9.94,0.20,2.73,12.4250000000000000,7.21,0.41971830985915492958
"Central","Technology","Machines","TEC-MA-10000822","Lexmark MX611dhe Monochrome Laser Printer",8159.95,0.40,-1359.99,13599.916666666667,9519.94,0.30000012254977054271
"Central","Office Supplies","Storage","OFF-ST-10000991","Space Solutions HD Industrial Steel Shelving.",275.93,0.20,-58.63,344.9125000000000000,334.56,0.03001485884101040119
"Central","Furniture","Chairs","FUR-CH-10004287","SAFCO Arco Folding Chair",1740.06,0.30,-24.86,2485.8000000000000000,1764.92,0.28999919543004264221
"Central","Office Supplies","Art","OFF-AR-10002656","Sanford Liquid Accent Highlighters",32.06,0.20,6.81,40.0750000000000000,25.25,0.36993137866500311915
